Id,Content,Type,Position,Money,Money2
0,"Advance to Go (Collect $200)",3,1,0,0
1,"Bank error in your favor, collect $200",1,0,200,0
2,"Doctor's fees, Pay $50",1,0,-50,0
3,"From sale of stock you get $50",1,0,50,0
4,"Get out of jail free, this card may be kept until needed",4,0,0,0
5,"Go to jail, go directly to jail – Do not pass Go, do not collect $200",3,-1,0,0
6,"Grand Opera Night. Collect $50 from every player for opening night seats.",2,0,50,0
7,"Holiday Fund matures - Receive $100",1,0,100,0
8,"Income Tax refund. Collect $20",1,0,20,0
9,"Life Insurance Matures - Collect $100",1,0,100,0
10,"Pay Hospital Fees of $50",1,0,-50,0
11,"Pay School Fees of $50",1,0,-50,0
12,"Receive $25 Consultancy Fee",1,0,25,0
13,"You are assessed for street repairs: Pay $40 per house and $115 per hotel you own.",5,0,-40,-115
14,"You have won second prize in a beauty contest– collect $10",1,0,10,0
15,"You inherit $100",1,0,100,0
